RS,Na-Na (Small),Na-Cl (Small),Cl-Cl (Small),RL,Na-Na (Large),Na-Cl (Large),Cl-Cl (Large)
11.165,1.043760002,0.958163995,1.058498627,,,,
11.235,1.049380493,0.953412302,1.070456633,,,,
11.305,1.0598578,0.948031265,1.077099644,,,,
11.375,1.079135189,0.94544268,1.10035668,,,,
11.445,1.072888171,0.944993381,1.092432132,,,,
11.515,1.06750256,0.945302741,1.080984017,,,,
11.585,1.078501466,0.941771874,1.093835981,,,,
11.655,1.074789988,0.941567759,1.091681779,,,,
11.725,1.096221817,0.942633758,1.110060599,,,,
11.795,1.088168075,0.943714469,1.096397804,,,,
11.865,1.082295203,0.946911668,1.089821749,,,,
11.935,1.08936164,0.948723484,1.097412522,,,,
12.005,1.075399995,0.951855118,1.083523889,,,,
12.075,1.06570992,0.956146163,1.071206711,,,,
12.145,1.057452193,0.960673225,1.061142241,,,,
12.215,1.055801638,0.968458006,1.059856606,,,,
12.285,1.032434856,0.973839377,1.035357917,,,,
12.355,1.030235378,0.976485279,1.028538515,,,,
12.425,1.011714937,0.985860636,1.013014113,,,,
12.495,1.008964353,0.992122264,1.010078187,,,,
12.565,1.002625578,0.997882345,1.000937007,,,,
12.635,0.980205587,1.000954612,0.974713424,,,,
12.705,0.979099303,1.00478557,0.975614119,,,,
12.775,0.972211005,1.008710119,0.967297678,,,,
12.845,0.980036653,1.013825666,0.971135089,,,,
12.915,0.969157287,1.018208935,0.959045293,,,,
12.985,0.964448389,1.024846037,0.948998933,,,,
13.055,0.959895504,1.026726347,0.948485371,,,,
13.125,0.960498746,1.033258453,0.95352913,,,,
13.195,0.95889017,1.036611272,0.948389414,,,,
13.265,0.954891138,1.040132173,0.943896481,,,,
13.335,0.950336458,1.043020115,0.941616116,,,,
13.405,0.96606673,1.043424088,0.956260373,,,,
13.475,0.953231798,1.044537903,0.946467599,,,,
13.545,0.949908411,1.041819099,0.942495486,,,,
13.615,0.947434724,1.041416877,0.941405511,,,,
13.685,0.945463281,1.041188352,0.941372255,,,,
13.755,0.949180422,1.036974938,0.94871659,,,,
13.825,0.95418794,1.035814708,0.954931475,,,,
13.895,0.962961943,1.03523664,0.962044362,,,,
13.965,0.967567669,1.031067339,0.966178174,,,,
