time (ps),Lx,Ly,Lz
0.962,13.79226799,17.72010489,14.81627204
0.964,13.79169124,17.71765942,14.81508895
0.966,13.79132149,17.71500471,14.81388783
0.968,13.79121867,17.71253119,14.81238307
0.97,13.79120354,17.71007524,14.81096853
0.972,13.79121474,17.70760295,14.80963649
0.974,13.79098876,17.70545886,14.80844291
0.976,13.7910758,17.70329005,14.80747935
0.978,13.79138013,17.70119882,14.80639163
0.98,13.79185346,17.69905864,14.80546147
0.982,13.7922199,17.69718565,14.8048824
0.984,13.79264645,17.69533781,14.80417097
0.986,13.79270037,17.69375799,14.80368676
0.988,13.79282562,17.69215507,14.80312795
0.99,13.79297274,17.69049181,14.80200691
0.992,13.79305588,17.6888015,14.80124825
0.994,13.79323995,17.68737162,14.80030735
0.996,13.79364783,17.68590669,14.799514
0.998,13.79460147,17.68459261,14.79866037
1,13.79596404,17.68329344,14.79756587
1.002,13.79764552,17.68220497,14.79674565
1.004,13.79932968,17.68128127,14.79625675
1.006,13.80126127,17.68043493,14.7959901
1.008,13.80283627,17.67995906,14.79607543
1.01,13.80444464,17.67946013,14.7959159
1.012,13.80600584,17.67943606,14.79595847
1.014,13.80776773,17.67978555,14.79609186
1.016,13.80959298,17.68033223,14.79666342
1.018,13.81155066,17.68059776,14.79744261
1.02,13.81362335,17.68096037,14.79858187
1.022,13.81586469,17.68126755,14.80020156
1.024,13.81822457,17.68168567,14.80158159
1.026,13.82080161,17.68253068,14.80312235
1.028,13.8233756,17.68343157,14.80433439
1.03,13.82585129,17.68447694,14.80548294
1.032,13.82826099,17.6853897,14.80680885
1.034,13.83073372,17.68659151,14.80806594
1.036,13.8333825,17.68802421,14.80931539
1.038,13.83571307,17.68934115,14.81061043
1.04,13.83840574,17.69058069,14.81198116
1.042,13.84155261,17.69176725,14.81302135
1.044,13.84481504,17.6928729,14.81398645
1.046,13.84830762,17.69423745,14.81491532
1.048,13.85158605,17.69535154,14.815947
1.05,13.85494232,17.69660854,14.8168264
1.052,13.85834007,17.69785301,14.81740005
1.054,13.86174397,17.69904383,14.81816671
1.056,13.86500591,17.69992563,14.81866717
1.058,13.86875214,17.70095749,14.81928632
1.06,13.87268547,17.70186939,14.81978932
1.062,13.87691053,17.70247111,14.82023912
1.064,13.88132374,17.70302211,14.8204791
1.066,13.88558966,17.70374373,14.82073214
1.068,13.89018047,17.70410921,14.82064649
1.07,13.89444522,17.70428094,14.82047661
1.072,13.89827263,17.70442917,14.82041034
1.074,13.90186955,17.70454944,14.81996218
1.076,13.90526104,17.70466045,14.81908063
1.078,13.90865003,17.70473045,14.81808447
1.08,13.9121133,17.70463132,14.81656689
1.082,13.91530549,17.70457216,14.81493939
1.084,13.91833996,17.70437961,14.8132305
1.086,13.9209869,17.70418566,14.81133135
1.088,13.92318189,17.70392689,14.8095687
1.09,13.92570112,17.70369602,14.80770323
1.092,13.92826517,17.70327595,14.8060519
1.094,13.93083883,17.70312996,14.80406506
1.096,13.93350025,17.70305064,14.802025
1.098,13.93659546,17.70298531,14.79978812
1.1,13.93940432,17.70299572,14.79763928
1.102,13.94204044,17.70325179,14.79565208
1.104,13.94434064,17.70385026,14.79369119
1.106,13.94673655,17.70434773,14.79199465
1.108,13.94910342,17.70492352,14.79024833
1.11,13.95170753,17.70539547,14.78841783
1.112,13.95470197,17.70579427,14.78649047
1.114,13.95737688,17.70605857,14.78467926
1.116,13.95979221,17.70626251,14.78265726
1.118,13.96186292,17.7068567,14.78076533
1.12,13.96404198,17.70737787,14.77883239
1.122,13.96623841,17.70811722,14.77686637
1.124,13.96808654,17.70910379,14.77447807
1.126,13.97030916,17.71006274,14.77236198
1.128,13.97236569,17.71115535,14.76996151
1.13,13.97441738,17.71203129,14.76759744
1.132,13.97628164,17.71278982,14.76529189
1.134,13.97785215,17.71334496,14.76292096
1.136,13.97929102,17.71402297,14.76023769
1.138,13.98042768,17.71490897,14.75753196
1.14,13.98148847,17.71560414,14.75490291
1.142,13.98234128,17.71642565,14.75221732
1.144,13.98284184,17.71739626,14.74998961
1.146,13.9833874,17.71813255,14.74762672
1.148,13.98359435,17.71834921,14.74556069
1.15,13.98362052,17.71872665,14.74379124
1.152,13.98363183,17.71904003,14.74230016
1.154,13.98333363,17.71898122,14.74088305
1.156,13.98273479,17.71894261,14.74014706
1.158,13.98185567,17.71886845,14.73940298
1.16,13.98110651,17.71880156,14.73865375
1.162,13.98015433,17.71847929,14.73796938
1.164,13.97867814,17.71785811,14.73724868
1.166,13.97704922,17.71727772,14.73678439
